NLHC,method,japanese,english
hisi tu manuta to tikasi.,SVO,私はそれを食べます。,I eat this.
nisi tu manuta to hikusi.,SVO,あなたはどれを食べますか。,What do you eat?
nisi tu manuta to gibusi sibusi.,SVO,あなたはどの食べ物を食べますか。,What food do you eat?
hisi tu ta minusi.,SV,私は人です。,I am human.
nisi tu ta basi.,SV,あなたは何ですか。,What are you?
tikasi tu ta hitosi.,SV,これは言語です。,THis is the language.
tikasi tu ta dikasi hitosi sati tosi.,SV,これはその言語の単語です。,THis is the word of that language.
mita hosi tu ta godotu hosi.,SV,寝ることは良いことです。,Sleeping is good.
hisi tu manuta nuzi to tikasi.,SVO,私はそれを食べている。,I'm eating this.
hisi tu bihanasi toti manuta zuhi to tikasi.,SVO,私はそれを朝に食べない。,I don't eat this in the morning.
nisi tu bihanasi toti manuta to gibusi.,SVO,あなたは何を朝に食べるの。,What do you eat in the morning?
nisi tu bihanasi toti manuta to gibusi sibusi.,SVO,あなたはどの食べ物を朝に食べるの。,What food do you eat in the morning?